Id,Title,Review,Label
47,Amrutham Houseboats-Not That Great!,"I went by the earlier reviews to book in advance for Amrutham private Houseboat deluxe category. I was expecting a unique personal experience with my wife since I have heard a lot about it. But my experience with Amrutham Houseboats didn't turn out to be so nice.

On the day I arrived in Alleppey, and went to the stipulated destination to board my houseboat; I was made to wait for my houseboat; and that too I had to share till 3.30 PM with some other family. Later on I was moved to a different private boat; but they also took some time to clean it and get ready for us; and we had to wait for some time for it to get started. While we took some rest after an exhausting day; and later were enjoying the scenic beauty; the boat was put to halt and anchored on the shore at 5.30; citing govt. regulations. (But as far as I know, they allow till 6.00 PM).

Anyways, the food they gave was good. But the quantity was so less; that we couldn't get more of dal when needed. The cook didn't seem to be hygienic as he prepared the food bare-chested and sweating in hot weather. They were not courteous enough to ask if anything else was needed and we ourselves had to ask for more. In the night; there were some issues with power as it started tripping on and off.

Later on there was some problem with A/C; but it got resolved in some time. Next day morning; driver was slightly late to come and start the boat; and checked us out before time, as if in some hurry. I would say for the money spent; it was not worth it!",2
48,Naturevision Houseboats,"PLEASE DO NOT BOOK THROUGH NATUREVISION (Praveen Das)

https://naturevisionkerala.com/

Following are the serious issues we have faced during our stay in Houseboat which we booked through Naturevision.

The boat which was promised to us was totally different from what was given to us (photos are attached in the email send to my wife).

It was under maintenance, housekeeping not done.

Old Liquor bottles were scattered in Living area & bedrooms.

Spider webs were hanging over the bed and many other places.

Flush was not working, water was very muddy in colour and when requested for hot water in morning they didn't provided.

AC was promised from 9PM to 6AM but AC's weren't working in 3 bedrooms. Only in 2 bedrooms AC's were working (they had given 5 bedroom boat). In fact the AC remote is not working so we couldn't change the temperature.

Music system & TV was not working specially TV & CD player remotes were broken and not functioning.

They had promised detailed route map in the mail send to my wife (didn't show church, snake boat, village) but they just took us to some dirty place with lakhs of mosquitos & insects.

They had promised many dishes in the mail send but for morning breakfast they served only idly & old leftover sambar on previous night.

Mr.Praveen Das spoke very rudely on the phone when we asked to provide promised boat, he told us to get lost & he can't return advance amount and we were threatened to pay full amount.

Mr. Praveen Das & his Supervisor( named Lases) used foul language for the ladies (my wife & my cousin brother's wife).

While landing the boat they didn't stop the boat near the check-in point and forced to pay extra Rs.2000 for remotes.

Around 10-12 local goons gathered outside and were ready to fight with us.",1
49,A night in Houseboat at Alleppey Kerala India,"Recently I visited Kerala for family tour and I booked the Alleppey boat house through Country Travel Mart.

The houseboat was very beautiful. The cruise members are very polite and helpful. The food given were very delicious.

Moreover, there is no hidden cost for anything. It was really great holidays with my family as we are the only family on luxury boat having only one room.",5
50,The Enchanting Backwaters of Alleppy…,"Backwater places are really rare and peace loving people definitely enjoys it the most. It was our third centre in Kerala visit and the most thing I liked about it is the peace & calmness of the place. The Hotel we had stayed was also very lucrative, we had stayed at “Citrus Retreat” just at the shore; where the entry to the Hotel is to be done by a short travel in HouseBoat which is also a unique & joyous experience.

The alternative of staying in Alleppy/Kumarkom is the House Boat itself, but we preferred the Hotel instead of HouseBoat becoz of freedom to move out of the place. And Alleppy is just the replica of Kumarkom, though I have not seen Kumarkom but I prefer Alleppy over Kumarkom because of its a small place and can expect more of peace rather than a big place; (though Hotel facilities are more in Kumarkom as compared to.)  And it’s the main activity over there is that “doing nothing” and “just relax” forgetting all the daily chores and worries of life. It is said that Alleppy is one of the 50 must see places in the world declared a few years back.

I did not find any more of Sightseeing places, just we had a 1 hour Sunset House BoatRide in the evening. But more of anything else, the view that we had from the balcony of our room was the upmost. And we had enjoyed swimming in the evening followed by massage, so all in all it was comprehensive.

And to summarize, its just that, what I had felt at that place; that next time even if I don't visit at any other place and just come over here for 2-3 days, then also it’s a nice idea for a good relaxation.",5
51,Elite House boat service- best houseboats avaialbe,"Hi I recently traveled with Elite houseboats and was very much happy with there service and boats, the houseboat was well maintained, the crue was very friendly and made sure we where comfortable, this was my first experience in a houseboat and I saw lots of houseboat there but the one which I travelled was far better than many others. the backwaters of Alleppey is truly one of the best way to enjoy the holidays. wonderful moments . great time to cherish for long time. you can find them at https://elitehouseboat.com",5
52,Chrison holidays pvt. ltd. kerala service,"We had booked the package through Chrison holidays pvt. ltd. to Alleppey and Munnar. We enjoyed the trip.

Their management is very good, and had given us the best services.",5
53,NEVER STAY IN HOUSE BOAT,"I booked the house boat via KTDC, in Jan 2013 as a part of my Kerala tour. This boat belonged  to LAKE LANDS CRUISES, ALLEPPY Boat named "" DENIALA"" Our stay was full disappointment and life threat. Things started smoothly as in the evening they use to park the boat near paddy fields in back water, the place is full of mosquitoes, all boats were using mosquito net for the protection, but our boat driver named ""Sebastian"" in spite  of continuous request to put net said (1)"" the net are not working"" , and he along with helper Kannan left the boat, leaving only chef on boat when I called there manager Mr. Bijju his words were (2)"" this boat does not have any mosquitoes net"" this is our company boat and we very well know the boat this boat does not have a net, if you required the nets u shd have told in advance this thing. When we said that"" ur caeetaker of boat said they are there & they are not opearational"" he changed his words & told me these mosquitoes are not dangerous & even if they bite me & my kids nothing will happen to Us.

When further insisted for net. Manager finally told me to hand over phone to chef & told him something, chef then installed the net, by this time boat was full of mosquitoes, net worked in reversed way if securing all mosquitoes on the boat only. Now comes the captain of the boat who have also got a phone call from manager abt this issue saying "" what is your problem & harassing me saying many vips stayed in my boat including Mr Sharad pawar no one complained how can you complain against me, so many people come to boat, so many danger in water , boat sink you die, do u call my manager at that time. How can u call my manager at this time?

He further said(3) "" can u see it is too hot inside since you insisted to put nets"" I told I m ok with hot, but I can not let me & my family bitten with mosquitoes. (Till now I already had 3 excuses or not putting the nets) He got angry on us, showing all kinds of terror, if something happens to you in night who is responsible. You are not friendly what job you do, & etc etc...

Once I thought to get down from his boat, but they park the boat in middle of nowhere, where you will find nothing & with kids & luggage you have no choice but to stay on boat & be quiet.

I could not sleep in night, as I was worried abt the safety of my family members his intentions were not good. I came out of our room in morning, & I think staff had drinks & smoked in night on boat. Later they insisted me to write the comments & feedback on the moving boat. I told I do not want to write any thing, they said you have to write it now only not on the disembark point. I wrote nothing in the feedback page, but I wrote ""Food was nice"" in the register of boat.

After reaching the disembark point I headed to office of LAKE LANDS CRUISE, But to no surprise no one was there in morning 0900 hrs. They formed a gang in the last& came to me & told to feel up the feedback form, which I denied. I have put down a complain with KTDC & LAKE LAMDS CRUISE manager Mr. BIJJU, still awaiting for the action taken the culprit.

NEVER STAY IN HOUSE BOAT, rather take a boat ride & spend night in a nice hotel.",1
54,Wanna have a House Boat Ride....A Must Read…,"I am from Alleppey and I know that lot of cheating s are happening related to house boats.I you want to hire a house boat, you can straightaway go to the boat landing station(alias ''finishing point'') which is at a 15 MINS walking distance from Alleppey Bus Station.There , you can see a booking station for boats (Govt Operated, Yellow colored building) and book the boats directly from there.

They have got standard rates and packages and you will be having lot of choices of boats to choose from.The boats will be available from this place round the year and not need at all to prebook by giving double and triple the original charge, ,

Have a happy and safe Journey......",4
55,Alleppey Houseboats,"I am vicky from New Delhi, while visiting houseboat in Alleppey  was awesome it was slowly floating over the scenic backwater takes you to the world of wonderment passing through the scintillating natural beauty.

Terrific churches and emerald green paddy fields that offers sight that one can hardly forget and I had meroable journey throughout my life I have ever toured.",5
56,Alleppey Backwater Unforgettable Backwater Cruise,"Alleppey is one of the few tourist places in Kerala which offers unique and unforgettable backwater cruise. Famous for its houseboats, lagoons and lakes, boat races and fishing, this wonderful backwater destination is one of the most visited tourist spots in the state.

Fondly called the Venice of the East, Aqua Melody Houseboats  make my kerala trip colorful.

Arun Vivek

Kolkatta",4
57,Alleeppy Houseboats,"Alleppy is one of the important tourist destination India.It is known as the Venice of the East.The main specialty of Alleppy is the backwaters.

So many tourists come to Alleppy take a house boat cruise along the backwaters.Houseboat travel along the backwaters should be a remarkable one in your life.So don't forget to visit the scenic natural beauty of Alleppy on your Kerala trip, especially a houseboat.",4
58,Memorable Houseboat trip in Aqua Melody,"I'm Jyothish from Delhi. I visited Alleppey in My last vacation.The major attraction here is houseboats.We were a group of 6 and we booked Aqua melody hosuboat at Alleppey.The moments in Aqua melody was one of the memorable experience in our life.We spend a full night in Aqua melody.

The food and all other expenses are very cheap and all  enjoyed the trip at its maximum.We are planning to visit there again in our next vacation.If anyone plan for houseboat trip in Alleppey I prefer Aqua melody for a memorable trip.",4
59,Beware of http://alleppeyhouseboat.org/ crooks,"I booked a house boat from https://alleppeyhouseboat.org and paid rs12000 for a night stay.I expected a beautiful and neat boat but once I landed there what I got was a shabby and low class house boat which had mosquitoes, was not clean and was very small too.

These cheats were interested in only taking the money and not bothered about the service and maintenance of the boats as seen in their photos in the site.Beware dont get cheated like me.",1
60,"Beautiful backwaters, appealing houseboat","We had booked a 2 night 3 day trip through Global Vision https://globalvisiontours.com/.

To start with the pick up location was quite remote..but reachable. On arrival we were promised that we could make the balance payment by credit card. Sadly their card machine was not working and we were asked to pay by cash. We had clearly told them very well in advance that we will not be able to make a cash payment. Hence that was left to the last day.

On board, we were greeted and the crew were very friendly and the food was excellent. What ever rating I have given is purely for these.

The house boat in general was very poorly maintained. The walls had several stains on them. The curtains were dirty. The bathroom fittings were loose and leaking from everywhere. In one of the rooms, the plug point was loose and hanging out of the wall. On top of this, when we spoke to them about these, they said that these should not make a difference to us as we were  given good service.We argued that we were paying for the house boat as well, but this fell on deaf ears.Through out the interaction with them, the only thing that they were interested in was getting money.

So anyone booking through them, beware of what you get for the money you pay.",2
61,Overnight stay at Houseboat,"I think Alleppey is the must see place in Kerala, backwaters and flowing paradise known as houseboats can allure soul of every human. Overnight stay at houseboat giving unforgettable moments especially for honeymooners,

Don't forget to experience the charming backwater night atmosphere.",4
62,The Backwaters of Kerala,"We began our houseboat journey in the afternoon, having caught a bus from Fort Cochin. For once my friends and I were happy to hear the chorus of “hotel, hotel!” from the countless local entrepreneurs. I looked the first man who spoke and raised my eyebrows.

“Can you help me?” I said.

Of course he could.

I laid out our terms of travel. We wanted a houseboat to go take us through the back waters of Kerala for two nights. We could each afford twenty dollars each per day. Absolute maximum. Of course it wasn't really the maximum, but I knew if I stuck to that claim from the start I would come out paying it at the end. While it is normally an amateur mistake to begin bartering at the price you want, I had figured out the average price for other backpackers we had met and budgeted at about 20% lower than that.

After arguing for two or three hours and viewing a wide variety of sturdy and not so sturdy vessels, we agreed upon the price I had originally stated. The cruise was nice- we had warmish water, comfortable beds and a cook, Meals were served on banana leaves that had been cut from trees we had passed. Then the trouble began. We had assumed a two day cruise was forty eight hours, and the crew wanted to drop us off after only thirty. An argument ensued and the boat was docked. The crew left, and while we waited, they did not come back.

The only logical thing to do was drink beer. And the only logical thing to do following the consumption of beer was to contemplate our ability to man a reasonably sized ship with the set of keys had left in the ignition. The boat was started, and we somehow managed to turn off the entire boat's power. Then we managed to start the boat again, but couldn't quite manage to turn it off.

Then we left.",2
63,Fantastic Experience on Kerala Backwaters,"We travelled long way to Kerala.We planned to visit South Kerala which is more fascinating(Recommended by my friends Natasha & Philip)We decided to take a tour on Alleppey backwaters.We found many companies with plenty of offers. we were in a plan of renting a houseboats for 2 nights.At last we chose https://alleppeyhouseboatpackages.com with a reliable cost and a new boat with good looking interiors.Specially it was very neat and clean.We did enjoyed our backwater trip with the best crew on our boat. We enjoyed with our delicious food and the fish served.Oh! it still in my tongue. Excellent Trip!

We missed a lot. We will plan to come for the next year.Thank you Ranjan. He was very support for our transportation all the way in Kerala.We will surely recommend him for any of our friends to kerala.

Zara
Netherlands",5
64,Bitter experience at Kerala houseboats,"We visited Kerala recently in end December which was the peak season. We had a wonderful trip in Kerala except its main attraction the houseboat. Due to peak season there were no houseboats available, and people were suggesting us for shikara ride. But one of the reputed houseboat operator gave us an package of Rs. 14000 in which shikara ride in the day time and then a houseboat in the night.

Mr. Ranjan, who promised about very good service took full cash and gave a shikara to ride. It was an awesome experience of shikara before the most bitter experience we witnessed in our trip. Ranjan couldn't keep his promise, and he asked us that he is unable to provide any houseboat. He returned only Rs.7000/-, which meant our shikara ride of 4 hours costed us Rs. 7000/-.

My friends, never believe on https://allappeyhouseboatpackages.com website.

Ranjan only talks sweetly before you give the payment, but afterwords his service changes. He didn't even give us the receipt of 7000.",3
65,Kerala Houseboat- Amrutham Houseboats,"Hi All,

I am John Mathew working at Infosys, Chennai would like to share my experience in Kerala backwaters.I visited Alleppey on September for my Honeymoon.

One of my Friend suggested Amrutham Houseboats as the best in Kerala. So I called them and Booked a Super Deluxe Houseboat at Kumarakom. Frankly saying, the boat was really a Luxurious one. It was a Single Bedroom boat with a big Hall, Luxury furnitures, corridors, Upper deck, modern Kitchen, LCD TV, etc. Their Chef was an expert.He cooked Tiger Prawns, Karimeen Fish, Chicken and some other Veg dishes for us.all wer excellent.Other than chef, Driver and Assistant were there in Boat.They were really helpful.I never seen such Uniformed Staffs in any other Houseboats in Kumarakom.

Upper deck of the boat was another attraction.we could sit, relax and enjoy the beauty of the backwater at its full fledge from Upper deck.

They also arranged ‘Flowerbed decoration’ and ‘Candle Light Dinner’ for us .Even though we dint ask for that, since it was our Honeymoon, they arranged specially for us.

I paid an amount or Rs. 6000 /- for all these Luxury stay and I am sure that it was worth for all these Luxury amenities.

I recommended Amrutham Houseboats for many of my friends and all of them said the same comments.

this is my first comment in any of the travel site.I am doing this to ensure that all should enjoy the beauty of Kerala backwaters at its best.",5
66,Alleppey for Honeymooners,"Destination information

Alleppey is a beautiful place with a bath and beach of the sea. We had stayed at a luxury boat . The tours through the narrow canals and lakes with the most relaxed sitting or lying on the bridge was an unforgettable experience.It is indeed an amazing experience being away from the chaos of delhi

Food, tourism and shopping

All foods r provided in  a houseboat. From the welcome drink , coconut Cousine race with the traditional Kerala fish fry lunch. Snacks in the evening and a dinner by candlelight in the middle of the beautiful lake. (Rice, roti, chicken and other)

Activities and things to do

To have a beautiful Ayurvedic massage and see the canals and huge Vembanad Lake and sunset in the lake.Massage is a must must activity folks & its cheap too 9 (around 300 Rs)

Travel advice on how to reach, travel warnings, etc.

If you want to enjoy a calmer Honeymoon, as we did Proceed via  Thekkady from Kottayam (toavoid traffic). It 'been a wonderful journey of three hours. We reach Alleppey at 10:15. Then transferred to Houseboat. Houseboat was launched at 11:30 the next day around 10:30, we left.All aour arrangements of taxi, hotels etc were done in advance so we dint faced any issues.Locals r helpful too in this matter

Caution

1)      Choose a authentic Travel Agent ( we chose Antilog Vacations for its rates & it being an official travel partner)

2)      Book in advance.On the spot booking can cost u twice as much

3)      Houseboat can shake a little, be prepared..:)",4
67,"Yes, amrutham Houseboats are nice.","Hi Jayamohan,

Yes, you are absolutely right..Amrutham Houseboats are nice..

I have done a great trip in Alleppey backwater with them.. Service was excellent..that too in low price..

me too recommend this..

We were taken to all good parts of Alleppey back waters like R block, Chambakkulam, Punnamada, etc..and we had great kerala menus from Master chef..Kerala Special karimeen taste is still there in my mouth...Dont miss it..We selected a 3 bedroom Deluxe Houseboat with all facilities and 3 members were there in the houseboat for our service- Driver, Cook and assistant. All are uniformed and professionals in the field.",5
68,Amrutham Houseboats - the best..,"If you are a Backwater lover, you should enjoy the beauty of Kerala through Alleppey Houseboat.

But never forget to select the best houseboat for your cruise.

I recommend Amrutham Houseboats for your Backwater cruise.in Alleppey or in Kumarakom.

Their houseboats are the best in Kerala. They are having all favilities like LCD TV, Music system, A/c Bedrooms, Conference hall facilities, Big Hall and Veranda, Clean and modern Kitchen, Upperdeck facility, Attached and well maintained Bathrooms, Hot water facility, Well Trained and Uniformed Staffs, etc.etc.

Above to all, the main thing is the cheap price that they are offering.",5
69,Allepey Trip costs,"Allepey is the best place I have ever visited in my life. Yes I have been an avid traveler & have traveled almost all parts of India.The place & other things are good but the travel operators can really charge you hefty while selling Kerala packages to you.

Two players I have found most reliable are Thomas Cook & Antilog Vacations. Antilog Vacations is the cheapest when it comes to Kerala.I got a 5 day Kerala package for 8000 bucks with 3 star hotels & a personal car & chauffeur. Houseboat was charged for around 3000 per person with all meals.You just can't miss allepey guys , its awesome",4
70,"No Allepey, Yes Kumarakom","Although both are near by. I would refer the visitors to choose Kumarakom over Allepey if time is not a constraint.

HouseBoat:- Beware of the AGENTS! Yes, they are there. Always in search of short cut money. Dont go to Allepey and plan to book a houseboat, rather book a houseboat and then visit allepey else you might end up paying twice to feed AGENTS...... The prices they quote go up to 12K, 15K an 17K a times depending on how soft a target you appear against normal prices of 6k to 7k for a night........ House boats operate from 12 Noon till next day morning 9 AM........ House boat only moves for

Motorboats:- Make sure you visit the inner narrow canals of Kumarakom which is only possible with small motor boats in the evening time. They charge Rs 350 per hour for the entire family. Two hours trip in the evening to cover vembanad lake and canals would be a better experience than any.",2
71,Houseboat - Lovely Experience - Seasonscruise,"We (group of 6) decided to embark on a backwater cruise and selected Seasons Cruise as it came to us with good recommendations from a friend . The interactions from the onset with Joffy (guess the Manager of Season’s cruise) was pleasant and he made sure an Innova (with a good driver) was present at Cochin airport to pick us. We boarded the houseboat called Grace at regular check-in time of 12 PM as it was drizzling at the boarding point (near Aleppey boat jetty). We had booked a 3 room air-conditioned houseboat for the Aleppey to Kumarakom cruise - each of the rooms was large enough for a couple and had a decent sized bathroom with necessary amenities. The houseboat has a sitting area in the front for at least 8-10 people and a full and well stocked kitchen at the rear. The lunch and dinner served was fabulous, both in quality and quantity, and comprised of fish , chicken and vegetarian dishes prepared in Malayali style (they can make North Indian varieties if requested early).

On the way we stopped at a fish stall and bought some crab and jumbo/tiger prawns (we may have shelled out a bit more than the actual price as we did not know the going rate!), which was as cooked as per our wish, which was very tasty too. The houseboat was docked for the evening and night at around 5 PM, when we were served tea and snacks. Since we opted for the premium package, we were taken for a 45 minute canoe ride through the canals of the lake where we were able to see the late evening activities of the inhabitants in the backwater area. The night

was pleasant and we as a group played games and heard songs from the CD player. This houseboat had an LCD TV but did not have a satellite TV connection,  We did not really feel the need to see TV/movies through our 1 night cruise. Finally a big thumbs up to the crew of the houseboat - Mathai, Brijesh and Jayesh, who played along with our requests and tantrums :). Service is definitely an USP of this houseboat. Some words of caution - do make sure you carry some insect repellent creams (like Odomos), lots of games (like cards, monopoly, etc), a good camera to capture your trails/memories  The sleep was decent and the breakfast was relishing too (our group folks are big foodies and can relish good food 24/7!). We finally were dropped off at the Kumarakom's boat jetty w The overall experience was fantastic and we thank Joffy and team for making our stay memorable and comfortable.",5
72,House boat experience in Alleppy,"Wish this review will help you in guiding your expectation about Alleppey Houseboat. I had visited the place with great zeal to enjoy in moving houseboat last June. I organised A non AC houseboat (since it was rainy season) with food &accommodationfor 7000 rupees. I had also visited Srinagar & stayed in houseboat. But the boats in Srinagar would not move & remains standing in Dal lake.

As the boat in Kerala are moving I thought it will be beautifulto spend the evening in the moving houseboat with our near & dear ones. we started in the boat little delayed & by 12 o'clock noon. By 1.30 approximately the stopped for lunch. After an hour break the boat again started moving & we have been enjoying. By 5o'clock the boat anchored close to some village.

All my request for running the boat was turned down by the boat personnel. The mosquitoes took charge outside of the rooms which had no ventilation as they were air conditioned rooms. We were in trouble as we booked non ac. Some how we managed the night. I felt completely cheated as we paid so much for just 4 hours journey. better would have been to take a boat for day travel with much much cheaper price.

The guys even stopped the generator twice to savediesel& we needed to fight. My request would be to take all relevant details of the boat befor you pay & get started.

thanksBiplab",3
73,Alleppy Backwaters experience,"I would like to share my experience at Alleppy backwaters a few weeks back. Second day of the arrival, we boarded a houseboat. We had booked a single bedroom houseboat through Global vision tours at https://keralahouseboat.org. Following was my experience with the houseboat.Pros:

1) Staff was courteous and helpful.

2) Food was goodCons:

1) The starting point is 15 Km from Alleppy, some remote place called Kainakkary. We struggled to find the place. Most of the other houseboat services start from Alleppy town itself.

2) The boat was not the one shown in the website. It was smaller and didn't have Wall Cupboards or Teakwood Wall Finishing as mentioned in the website. Flooring was cheap coir carpet instead of Vinyl Flooring. Toilet was stinking and very small.

3)A/C was without temperature control. It gets cool very fast and I had to get up 10 times to switch off/on to maintain the temperature.

4)None of their boats have Cable TV. rely on DVD's supplied for entertainment.

5) We found many luxurious houseboats available for the same rate at Alleppy. We enjoyed the trip till evening but night stay was not great. They stop the boat at some remote place and you are left in the company of mosquitoes and insects.

I would suggest to take only day trip in house boat and return back to a good resort. Also note that none of the Houseboat show you narrow canals and real life. Even the smallest houseboat cannot enter the narrow canals. Plan to hire a canoe and take a trip through narrow canals to get best experience of backwaters.",1
74,Travelling by Houseboat at Alleppy,"We had booked a single bedroom houseboat for 24 hours during our stay at Alleppy. The houseboat left Alleppy at around 11am and went around the backwaters till 6pm. After that it dropped anchor for the night.

One would fall in love at the first look of a houseboat. Ours was one of the smaller ones but just fit for two people. The open place in front was for dining. There was one bedroom with attached bathroom and the kitchen was at the back. There are double decker houseboats and houseboats with more number of bedrooms.

The tour of the backwaters from afternoon to evening was heavenly. This is one experience that one should not miss. The backwater is like the main road and service roads in any of our cities. There are water buses, garages for motor boats and small bridges like flyovers in cities. The lunch cooked by the driver and his helper was just awesome. Authentic kerala dishes.

By 6 pm the boat dropped anchor. It usually drops anchor on the banks of the backwater. The problem starts from then. As the evening progresses, insects and flies starts to come out of their slumber. We could not sit in the open spaces where we enjoyed our afternoon. To save ourselves from the insects and mosquitoes, we had to sit in our bedroom with all doors and windows closed. Soon it became suffocating. Had to switch on the AC and unfortunately the AC was too big for the small room. So whole evening and night was spent in swtiching on and off the AC. We even couldnt get out of the mosquito net. It was pitch dark outside and there was nothing we could do. We should have taken a houseboat with TV to spend the evening

So I would suggest tourists to take a half a day trip. Leave by 11am and come back to allepy by 6 pm. Its better to rest in your hotel room than in the houseboat.",4
75,*** CAUTION *** ABOUT THIS BOAT,"Be sure not to book a cruise on this house boat

Never ever book it for a family

Be sure not to book a cruise on this house boat

Never ever book it for a family

Be sure not to book a cruise on this house boat

Never ever book it for a family

Be sure not to book a cruise on this house boat

Never ever book it for a family

Check for this particular houseboat.

We had a cruise with this house boat on 2008 August 10th. It was terrible.

House Boat Name  : Panavelil

Boat Number :CUT No 8872/AP

Dirty interier.

Drunken Staff.

inadequate(unbelivably) supply of food.

BAD QUALITY OF FOOD.

cheating in purchase of other things by boat owner.

Cheating on route.

unfair bahaviour to the guest.",1
76,A journey to remember,"In our package trip to Kerala, an overnight stay at the Houseboat was included. We boarded the Houseboat from Alleppey and believe me the trip was worth taking. The magnificient view of the calm Backwaters lined with Coconut groves on bothe sides of the canal and vast paddy fields lay beyond it.

Traditional Kerala cuisine was served on the House boat for Lunch, Dinner and Breakfast.

The room was very comfortable and the toilet was so neat and clean, we never felt it was a boat with all the modern facilities available . The boat had a deck on top of the roof with tables and small sofas to sit and view the beauty that the backwaters had to offer, one can never get this type of beauty anywhere. Truly Kerala is really "" GODS OWN COUNTRY""

During sunset the waters were glimming with the sunrays and the water all around had a golden sheen. When the boats are parked for the night you can have a walk around the small village and see Kerala more locally and traditionally. You meet the local people, shops and see the traditional way of Transportation in Kerala how everything can be transported by boat .

The morning was very different when we could feel the fresh air around the canal and how everything was so peaceful, calm and beautiful which we people are deprived of in our Daily busy lives in the City.",5
77,Awsome alleppey,"I've been to alleppey and its been a great trip for me which I would never forget. its been the most wonderful experiance of my life, well when we reached alleppy it was in the morning in the month of JAN. the awsome veiw of the place, the islands all close by. I was staying at my aunts house which was close to the beach. great view of water between the islands, and view of sunrise and the sunset. the view of the islands covered with the coconut trees cannot be explained in words need to have a lively experiance. the food was great which we had at the small restaurents well if you are a non vegetarian then you can feel the heaven. and the water sport like boat racing, speed boats made our day. im the person with the busy life but when I went to alleppey I was rechaged with the atmosphere and the climate. all I can tell you my friends that THE BEST PLACE I ever visited was alleppey.",5
78,Alleppey--The Venice of India,"Anyone who is visiting Kerala must visit Allepey.A great place with huge network of cannels and backwaters.I was on Honneymoon last year when I have visited Alleppey.We are amazed by the beauty of backwaters.I had accomodation in a off shore resort as I could not got a house boat.I was there in December.All the houseboats are occupied.The resort is kool with all the morden aminities.It a theam base resort all the furniture and interior are tradinational Kerala style.The food was great with lots of hurb and fresh spice which grow in Kerala itself.Idle which is staple diet in Kerala is best if you have problem with your health.You can take ride in many boats which are cheap(200-500Rs) for 2-3 hour.In september there is snake boat race which you can enjoy.I was there in December so I havennt enjoied the boat race but I was happy watching snake boat on shore.Snake boat can accomodate 100+ paddler

If you are a I suggest that anyone should plan their visit in advance and should book house boat if you have deep pocket..House boat costs you (6k-15k) per day.Depends on the size(nos. of bedrooms),facility(ac,kitchen,etc..) of House boats.Houseboats wihh take you for ride and ancher midway or anyplace as you like.You can enjoy exotic fish dishes if you prefer nonveg else veg food is also good in the house boat.Enjoy the food , drink ,greenery,backwater and open sky from the houseboat.",5
79,Monsoon Rainbow !!,"The monsoon had set in early...thunder, lightning and rain... perfect scenario for the car to break down while returning from Trivandrum at Alleppey !!! Late Friday evening the Mechanics had gone back and we were stuck for the night. A blessing in disguise !!

The Auto Driver, took us to a gorgeous place called Kayaloram on the Backwater. A Heritage Hotel that transplanted 100 year old Home Units from Kuttanad and remodelled it for todays life style. Open to the sky toilets makes bathing in nature a rewarding experience in the privacy of your room.The backwater is just a few feet away from the doorstep, and the everlasting sound of the waves is a divine lullaby. The sunrise early morning was spectacular. The Monsoon Rainbow against the background of Dark Rain clouds, is a sight beholden. And then the rain, incessant pitter patter of water. Just 12 living units , Kayaloram has a very friendly atmosphere about it. The Chef, will spoil you with Pearl fish ( Karimeen ) or anything you want and for the first time helped me cook too!!! The prices are moderate and definitely value for money.

Mid day and at lose ends we took a stroll. There are numerous low budget living units on the canal front. So good that it costs Rs 500 / - for a night with food.We liked Malayalam near the Punnamada jetty the best !!

For lunch our friendly Auto Driver recommended Allai's ... Its an old restaurant managed by a Muslim family and their Biriyani was out of the world. Cost .. Rs 70 / -.Having tasted success we asked for more. Took the boat ride into the Backwater and went to a place called the Marthandam Island next to R Block. A real country side joint, with a view thats exotic. It was Fish and more fish !!! Off the beaten track, not many go here but for the locals. So those of you planning a trip .. do jot it down !!

Back at Kayaloram, we sat on the lakefront and had dinner.Off season, we were the only occupants !!! The rain, croaking of frogs and the smell of earth, no wonder they call ..Kerala .. Gods own country !!!",4
80,Quick Tips on stay in Allepy.,"Hi Friends ! This is for all who desperatly seek helpful and concrete info on tourist destinations before they actually visit the place. This one is on Alleppey. First you want to know if its actually worth a visit, then you move to accomodation , food and finally expenditure. FLY TO ALLEPPEY: I flew to Alleppey from Delhi, saved a lot of time, so if you want full worth of your trip, take a flight, that ways you will have more time in hand to see the place, though there ain't much to see in terms of monuments or other historic places but the beauty of the place is divine and you need atleast 2 days to soak it in and bring it back with you , to keep you charged up till another trip. ACCOMODATION: There are all kinds of accomodations available, ranging from luxury to budget. I stayed in Kerala Heritage home , the room was for Rs 400 (non AC) so you can imagine an AC room would not be more than 1000. This place where I stayed was quiet , very peaceful, staff was very helpful, overall it was homely experience. There are quite a few hotels with reasonable room rents. FOOD: It is South Indian, lots of Sea Food and very little North Indian veg.. North Indian Veg. is not tasty and all Daals taste like Samber. So if you are non-Veg or can manage with South Indian then you'd have no problem otherwise you would not be looking forward to daily meals. PEOPLE: The people here are very very nice and really helpful. I found people in Kerala very honest, accomodating, helpful and hospitable.If you are stuck somewhere they would help and guide you. Cruise: The best thing is to take up an accomodation first and then go out looking for a back water cruise, this way you would have time to relax and then choose kind of cruise u intend to take , could be a cruise for a few hours or the whole day. Its ideal to take a cruise early morning or in the evening since the afternoon sun would prevent you from enjoying the scenic beauty to its fullest. Usually the hotels that you stay in will offer you the cruise, but if you are a low-budget traveller, its best to visit the backwaters and take a cruise from there - the price is marginally negotiable. To be honest you can cover the entire backwater in 3-4 hours, you need to hire a house boat only if you are with friends or cousins (I mean if you are 5-6 adults)or else if you are a honeymooner and want that romantic experience on sea, still I would not recommend spending large a/m on houseboat for the entire day. I hope this information has been of some help. Thanks Sidds.",4
